title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Ikiru,143 min,Drama,Akira Kurosawa,Shinobu Hashimoto,,8.3,38118 users
Det sjunde inseglet,96 min,Fantasy,Ingmar Bergman,Ingmar Bergman,,8.3,102382 users
Blade Runner,117 min,Thriller,Ridley Scott,David Webb Peoples,,8.2,427698 users
El secreto de sus ojos,129 min,Thriller,Juan José Campanella,Juan José Campanella,,8.2,114979 users
Smultronstället,91 min,Drama,Ingmar Bergman,Ingmar Bergman,,8.3,57881 users
"Lock, Stock and Two Smoking Barrels",107 min,Crime,Guy Ritchie,Guy Ritchie,,8.2,385384 users
The General,67 min,Comedy,Buster Keaton,Clyde Bruckman,,8.3,48225 users
The Elephant Man,124 min,Drama,David Lynch,Eric Bergren,,8.2,150167 users
Mad Max: Fury Road,120 min,Sci-Fi,George Miller,Brendan McCarthy,,8.2,366660 users
Casino,178 min,Drama,Martin Scorsese,Nicholas Pileggi,,8.2,305231 users
Hauru no ugoku shiro,119 min,Family,Hayao Miyazaki,Diana Wynne Jones,,8.2,191188 users
Warrior,140 min,Sport,Gavin O'Connor,Anthony Tambakis,,8.2,301006 users
The Wolf of Wall Street,180 min,Crime,Martin Scorsese,Jordan Belfort,,8.2,666203 users
Gran Torino,116 min,Drama,Clint Eastwood,Dave Johannson,,8.2,519109 users
V for Vendetta,132 min,Thriller,James McTeigue,Lana Wachowski,,8.2,725535 users
The Big Lebowski,117 min,Crime,Ethan Coen,Joel Coen,,8.2,491372 users
Oordeel te Neurenberg,186 min,War,Stanley Kramer,Abby Mann,,8.3,39530 users
The Martian,144 min,Drama,Ridley Scott,Andy Weir,,8.2,149805 users
Rebecca,130 min,Thriller,Alfred Hitchcock,Robert E. Sherwood,,8.2,80759 users
A Beautiful Mind,135 min,Drama,Ron Howard,Sylvia Nasar,,8.2,549395 users
The Deer Hunter,183 min,War,Michael Cimino,Deric Washburn,,8.2,215640 users
How to Train Your Dragon,98 min,Family,Chris Sanders,Dean DeBlois,,8.2,435210 users
Cool Hand Luke,126 min,Drama,Stuart Rosenberg,Frank Pierson,,8.2,111405 users
Gone with the Wind,238 min,War,1 more credit,Sidney Howard,,8.2,198659 users
Fargo,98 min,Thriller,Ethan Coen,Joel Coen,,8.2,412585 users
Trainspotting,94 min,Drama,Danny Boyle,John Hodge,,8.2,433312 users
Dial M for Murder,105 min,Thriller,Alfred Hitchcock,Frederick Knott,,8.2,96073 users
Het gebeurde op 'n avond,105 min,Romance,Frank Capra,Samuel Hopkins Adams,,8.2,58893 users
Into the Wild,148 min,Drama,Sean Penn,Jon Krakauer,,8.2,387993 users
The Sixth Sense,107 min,Thriller,M. Night Shyamalan,M. Night Shyamalan,,8.2,651960 users
Gone Girl,149 min,Thriller,David Fincher,Gillian Flynn,,8.2,484081 users
Incendies,139 min,War,Denis Villeneuve,Wajdi Mouawad,,8.2,69361 users
Finding Nemo,100 min,Comedy,Lee Unkrich,Andrew Stanton,,8.2,617594 users
Rush,123 min,Drama,Ron Howard,Peter Morgan,,8.2,274453 users
Mary and Max,92 min,Drama,Adam Elliot,Adam Elliot,,8.2,107354 users
The Thing,109 min,Sci-Fi,John Carpenter,John W. Campbell Jr.,,8.2,235962 users
No Country for Old Men,122 min,Thriller,Joel Coen,Ethan Coen,,8.1,559453 users
The Maltese Falcon,100 min,Film-Noir,John Huston,Dashiell Hammett,,8.2,104595 users
Kill Bill: Vol. 1,111 min,Action,Quentin Tarantino,Quentin Tarantino,,8.1,671002 users
Hotel Rwanda,121 min,War,Terry George,Terry George,,8.1,244706 users
Le salaire de la peur,131 min,Thriller,Henri-Georges Clouzot,Henri-Georges Clouzot,,8.2,32216 users
Life of Brian,94 min,Comedy,Terry Jones,John Cleese,,8.1,250602 users
Platoon,120 min,War,Oliver Stone,Oliver Stone,,8.1,270389 users
Butch Cassidy and the Sundance Kid,110 min,Western,George Roy Hill,William Goldman,,8.1,139183 users
There Will Be Blood,158 min,Drama,Paul Thomas Anderson,Upton Sinclair,,8.1,342429 users
Network,121 min,Drama,Sidney Lumet,Paddy Chayefsky,,8.1,94676 users
Les quatre cents coups,99 min,Drama,François Truffaut,Marcel Moussy,,8.2,63997 users
Touch of Evil,95 min,Thriller,Orson Welles,Whit Masterson,,8.2,67321 users
Stand by Me,89 min,Drama,Rob Reiner,Raynold Gideon,,8.1,250346 users
Persona,85 min,Drama,Ingmar Bergman,Ingmar Bergman,,8.2,54903 users
12 Years a Slave,134 min,History,Steve McQueen,Solomon Northup,,8.1,381032 users
The Princess Bride,98 min,Family,Rob Reiner,William Goldman,,8.1,272045 users
In the Name of the Father,133 min,History,Jim Sheridan,Terry George,,8.1,98965 users
Amores perros,154 min,Thriller,Alejandro González Iñárritu,Guillermo Arriaga,,8.1,160541 users
The Grand Budapest Hotel,99 min,Drama,Wes Anderson,Wes Anderson,,8.1,400600 users
Annie Hall,93 min,Romance,Woody Allen,Marshall Brickman,,8.1,175839 users
Million Dollar Baby,132 min,Sport,Clint Eastwood,F.X. Toole,,8.1,440911 users
Ben Hur,212 min,History,William Wyler,Karl Tunberg,,8.1,146396 users
The Grapes of Wrath,129 min,Drama,John Ford,John Steinbeck,,8.1,57667 users
Shutter Island,138 min,Thriller,Martin Scorsese,Dennis Lehane,,8.1,701204 users
Kaze no tani no Naushika,117 min,Fantasy,Hayao Miyazaki,Hayao Miyazaki,,8.1,85728 users
Hachi: A Dog's Tale,93 min,Family,Lasse Hallström,Kaneto Shindô,,8.2,130898 users
Demonen,116 min,Thriller,Henri-Georges Clouzot,Thomas Narcejac,,8.2,38399 users
Relatos salvajes,122 min,Thriller,Damián Szifrón,Damián Szifrón,,8.2,59732 users
Stalker,163 min,Sci-Fi,Andrei Tarkovsky,Boris Strugatskiy,,8.2,61721 users
Gandhi,191 min,History,Richard Attenborough,John Briley,,8.1,157258 users
Sin City,124 min,Thriller,1 more credit,Frank Miller,,8.1,614740 users
De beste jaren van ons leven,172 min,War,William Wyler,MacKinlay Kantor,,8.2,37133 users
The Wizard of Oz,102 min,Fantasy,3 more credits,Florence Ryerson,,8.1,267901 users
The Bourne Ultimatum,115 min,Thriller,Paul Greengrass,Scott Z. Burns,,8.1,448341 users
Jurassic Park,127 min,Thriller,Steven Spielberg,Michael Crichton,,8.1,545438 users
Donnie Darko,113 min,Sci-Fi,Richard Kelly,Richard Kelly,,8.1,538205 users
8½,138 min,Drama,Federico Fellini,Ennio Flaiano,,8.1,72330 users
Strangers on a Train,101 min,Thriller,Alfred Hitchcock,Czenzi Ormonde,,8.1,87993 users
Before Sunrise,105 min,Romance,Richard Linklater,Kim Krizan,,8.1,165347 users
Twelve Monkeys,129 min,Thriller,Terry Gilliam,David Webb Peoples,,8.1,428583 users
The Terminator,107 min,Sci-Fi,James Cameron,Gale Anne Hurd,,8.1,547914 users
Mou gaan dou,101 min,Thriller,Alan Mak,Felix Chong,,8.1,85033 users
The Avengers,143 min,Sci-Fi,Joss Whedon,Zak Penn,,8.1,896357 users
Groundhog Day,101 min,Romance,Harold Ramis,Harold Ramis,,8.1,398196 users
Jaws,124 min,Thriller,Steven Spielberg,Carl Gottlieb,,8.1,377519 users
"Monsters, Inc.",92 min,Comedy,1 more credit,Jill Culton,,8.1,524351 users
De slag om Algiers,121 min,War,Gillo Pontecorvo,Franco Solinas,,8.2,33634 users
